,likes,replies,text,timestamp,user
190,4,0, Lol. Where do i start from. Ok. In the comedy series #tizibika the storyline is that a sex video was posted and went viral on twitter. The 2 handles I @ are good and hyping. So it made sense that they're the ones who are likely to make it trend.,2018-02-09 20:55:34,Chaingaz
191,1,0,Awesome great job ladies #Tizibika,2018-02-09 20:53:33,ChintuViola
192,20,2,When you hide the remote from everyone so you can catch #Tizibika  but Mvula ya yamba  pic.twitter.com/Mqit8vClVO,2018-02-09 20:42:41,SlimPandaBear
193,14,2,"Just been catching up with #tizibika..definitely setting a reminder for the next episode!yanipanga mweh,hilarious stuff ",2018-02-09 20:24:56,the_xcheqeur
194,6,1,@KatongoChiluba  congrats #Tizibika is ,2018-02-09 20:19:13,TheeAjay
195,0,1,Is #tizibika on Catch up ai ?,2018-02-09 20:04:20,CChuwi1
196,2,0,"Even @marianepembe was hooked,catch #tizibika every Thursday on #dstv #channel160 https://fb.me/3U7NRMyfK ",2018-02-09 20:01:28,Ericmuleproduct
197,4,0,"#Tizibika Not bad, just watched the repeat. Awesome stuff",2018-02-09 20:00:39,PerisMwenya
198,3,0,"Guys #Tizibika is hilarious.  
There's girls that actually behave like this.",2018-02-09 20:00:10,MwachiElWeirdo
199,5,0,Lol I loved it! Bemba is my jam #Tizibika,2018-02-09 19:59:18,Nalukui_peach87
200,3,2,Her video clip has gone viral on twitter. Obviously it's courtesy of @Peter_Kays and @Curate_Zed #Tizibika.,2018-02-09 19:57:39,Chaingaz
201,7,0,This show is literally everything #tizibika,2018-02-09 19:56:29,Novel_Cee
202,12,1,Catching up on this #Tizibika show... who are these girls?? I absolutely love them please!!! This show!! I love it!! ,2018-02-09 19:55:45,Kassy90
203,5,0,Just watching #Tizibika now  Zambian shows are booming ,2018-02-09 19:55:26,McD_101
204,6,0,This show is actually pretty good #Tizibika,2018-02-09 19:54:37,nyembe101
205,10,0,Even @MariaNepembe was hooked.. #Tizibika pic.twitter.com/AjzUIoBBSy,2018-02-09 19:51:08,Ericmuleproduct
206,4,0,"#Tizibika is funny consistency please.

",2018-02-09 19:50:43,Symo_X_2pulZ
207,6,0,#Tizibika is an amazing ,2018-02-09 19:49:57,MU54M4
208,3,0,#tizibika ,2018-02-09 19:47:28,Novel_Cee
209,6,0,#tizibika may you live long ,2018-02-09 19:46:46,mulengachibunda
210,3,2,@Nalozi @tutusaysso you need to check out #Tizibika. Awe aka kena kasuma. ,2018-02-09 19:46:37,mitch_hamalwa
211,6,0,loving the confidence these two ladies have on #tizibika ,2018-02-09 19:46:30,SangaTembo
